name,price,availability,source_url,category,id,currency,image_url,scraped_at,rating
The Legend of Zelda: Ocarina of Time,91.99,In Stock,https://sandbox.oxylabs.io/products,,1,EUR,/assets/action-adventure.svg,2025-12-17 11:41:13,
Super Mario Galaxy,91.99,In Stock,https://sandbox.oxylabs.io/products,,2,EUR,/assets/action.svg,2025-12-17 11:41:13,
Super Mario Galaxy 2,91.99,In Stock,https://sandbox.oxylabs.io/products,,3,EUR,/assets/action.svg,2025-12-17 11:41:13,
Metroid Prime,89.99,In Stock,https://sandbox.oxylabs.io/products,,4,EUR,/assets/action.svg,2025-12-17 11:41:13,
Super Mario Odyssey,89.99,In Stock,https://sandbox.oxylabs.io/products,,5,EUR,/assets/action.svg,2025-12-17 11:41:13,
Halo: Combat Evolved,87.99,In Stock,https://sandbox.oxylabs.io/products,,6,EUR,/assets/action.svg,2025-12-17 11:41:13,
The House in Fata Morgana - Dreams of the Revenants Edition -,83.99,In Stock,https://sandbox.oxylabs.io/products,,7,EUR,/assets/adventure.svg,2025-12-17 11:41:13,
NFL 2K1,62.99,In Stock,https://sandbox.oxylabs.io/products,,8,EUR,/assets/sports.svg,2025-12-17 11:41:13,
Uncharted 2: Among Thieves,88.99,In Stock,https://sandbox.oxylabs.io/products,,9,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Tekken 3,91.99,In Stock,https://sandbox.oxylabs.io/products,,10,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
The Legend of Zelda: The Wind Waker,90.99,In Stock,https://sandbox.oxylabs.io/products,,11,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Gran Turismo,86.99,In Stock,https://sandbox.oxylabs.io/products,,12,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Metal Gear Solid 2: Sons of Liberty,88.99,In Stock,https://sandbox.oxylabs.io/products,,13,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Grand Theft Auto Double Pack,81.99,In Stock,https://sandbox.oxylabs.io/products,,14,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Baldur's Gate II: Shadows of Amn,91.99,In Stock,https://sandbox.oxylabs.io/products,,15,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Tetris Effect: Connected,88.99,In Stock,https://sandbox.oxylabs.io/products,,16,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
The Legend of Zelda Collector's Edition,89.99,In Stock,https://sandbox.oxylabs.io/products,,17,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Gran Turismo 3: A-Spec,84.99,In Stock,https://sandbox.oxylabs.io/products,,18,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
